Industry,mean,median,min,max,count
REIT - Retail,36.67961428587664,36.090194240146666,32.810689893441015,42.66551067631684,5
REIT - Specialty,29.734769663825606,29.6005933967452,19.282074791658903,41.13137863430416,6
Railroads,36.1495852450761,37.60612327559208,27.984732281809343,41.40136214731089,4
Real Estate - Services,36.88921453415824,36.88921453415824,34.98654458947612,38.79188447884036,2
Regulated Electric,34.40248707928681,32.4619803041349,25.860751208583803,50.91104428576468,22
Regulated Gas,34.83434388070934,34.83434388070934,31.793819833643745,37.874867927774936,2
Regulated Water,32.99818177908237,32.99818177908237,32.99818177908237,32.99818177908237,1
Renewable Utilities,40.154585208359336,40.154585208359336,34.1347831096302,46.17438730708848,2
Rental & Leasing Services,34.90999635068144,34.90999635068144,34.90999635068144,34.90999635068144,1
Residential Construction,41.537334659369094,41.58030176193699,36.45313894873165,46.53559616487076,4
Restaurants,23.91755456729714,24.61816357363961,3.253771873118156,38.701862506548764,6
Security & Protection Services,33.764700342689544,33.764700342689544,33.764700342689544,33.764700342689544,1
Semiconductors,39.076279443756405,38.83387230181673,21.979990486664384,49.765329418627466,17
Software - Application,37.45618616326822,37.14228834502718,25.179000782201623,47.26152714568009,13
Software - Infrastructure,33.72812562159411,37.478168973015414,-19.802003299890604,46.64710643417233,14
Solar,37.379416356186326,37.379416356186326,27.666485432834286,47.09234727953836,2
Specialty Business Services,37.49396483859583,37.49396483859583,36.255137363896665,38.73279231329499,2
Specialty Retail,33.51924829254247,31.266600054891047,28.97982707926258,47.4637699450519,9
Staffing & Employment Services,37.55747205257332,37.55747205257332,35.149257227548816,39.965686877597825,2
Steel,39.25943926978935,39.25943926978935,34.91234396661926,43.60653457295943,2
Telecommunications Services,34.08324480159959,34.870227469203066,28.47618490738097,37.311528584349595,5
Tobacco,26.334055385216708,26.334055385216708,26.173767182815315,26.4943435876181,2
Travel Lodging,22.017616532511802,22.017616532511802,21.48639559440298,22.54883747062063,2
Travel Services,32.208770351061105,35.47343297392307,23.821504871969708,36.70967443885231,5
Trucking,43.08220773532274,43.08220773532274,43.08220773532274,43.08220773532274,1
Waste Management,39.047041668974586,39.047041668974586,31.24053340555537,46.853549932393804,2
