time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
2025-05-02T14:30:00+01:00,685.73,685.73,685.68,685.68,685.6966666666666,685.6966666666666,685.6966666666666,101
2025-05-02T14:30:01+01:00,686.17,686.46,685.69,686.46,686.0969438669439,686.3033058733721,685.8905818605157,380
2025-05-02T14:30:02+01:00,685.925,685.925,685.68,685.68,686.0592097170971,686.2806143327185,685.8378051014757,61
2025-05-02T14:30:03+01:00,685.925,685.925,685.66,685.85,686.0038849092646,686.2245626854062,685.7832071331229,156
2025-05-02T14:30:04+01:00,685.93,686.02,685.93,685.98,686.0015661861074,686.2127717105134,685.7903606617015,65
2025-05-02T14:30:05+01:00,685.95,686.02,685.79,685.79,685.9805254424779,686.1806399554797,685.780410929476,141
2025-05-02T14:30:06+01:00,686.17,686.17,686.17,686.17,685.9941427104724,686.1930458975927,685.795239523352,70
2025-05-02T14:30:08+01:00,686.68,686.72,686.63,686.63,686.2232693602693,686.5782557701672,685.8682829503715,511
2025-05-02T14:30:12+01:00,686.23,686.23,686.22,686.22,686.2232696604111,686.5774223482983,685.8691169725239,7
2025-05-02T14:30:13+01:00,686.45,686.45,686.45,686.45,686.2234215226613,686.5775041782769,685.8693388670457,1
2025-05-02T14:30:14+01:00,686.35,686.35,686.26,686.26,686.2298294995966,686.5670136915031,685.89264530769,159
2025-05-02T14:30:15+01:00,686.41,686.44,686.41,686.44,686.2427510381277,686.5725593561235,685.9129427201319,114
2025-05-02T14:30:17+01:00,686.72,686.96,686.72,686.96,686.2926400487127,686.6525854067932,685.9326946906322,150
2025-05-02T14:30:20+01:00,687,687.02,687,687.02,686.4196754084265,686.846452604476,685.9928982123771,410
2025-05-02T14:30:28+01:00,687.03,687.15,687.03,687.15,686.4978402592451,686.9554041733832,686.040276345107,297
2025-05-02T14:30:30+01:00,687.19,687.19,687.19,687.19,686.4981040396341,686.9557801869928,686.0404278922754,1
2025-05-02T14:30:31+01:00,687.16,687.16,687.16,687.16,686.4986081492765,686.9564742172818,686.0407420812712,2
