time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
2025-02-24T14:30:00Z,745.69,745.73,744.08,744.24,744.6833333333334,744.6833333333334,744.6833333333334,1177
2025-02-24T14:31:00Z,744.24,744.75,743.5,744.54,744.4754964234621,744.6854852826341,744.2655075642901,1153
2025-02-24T14:32:00Z,744.66,746.25,744.48,746,745.0020358342665,745.5726287963009,744.4314428722321,2135
2025-02-24T14:33:00Z,745.8,745.8,744.9,744.9,745.0154676409186,745.5686083819066,744.4623268999305,325
2025-02-24T14:34:00Z,744.83,744.83,744.27,744.83,744.996728125826,745.5418700393944,744.4515862122577,254
2025-02-24T14:35:00Z,745,745.05,744.17,744.25,744.8952539506367,745.4232607543523,744.3672471469212,1263
2025-02-24T14:36:00Z,744.57,744.69,744.05,744.17,744.7950024145046,745.3249683305286,744.2650364984805,1286
2025-02-24T14:37:00Z,744.39,744.6,743.51,743.94,744.677877601253,745.2400549550796,744.1157002474265,1345
2025-02-24T14:38:00Z,743.96,745.52,743.96,745.52,744.7225202390131,745.2560281149448,744.1890123630814,1438
2025-02-24T14:39:00Z,745.51,745.84,744.83,745.11,744.7573963590484,745.2900222446988,744.2247704733979,720
2025-02-24T14:40:00Z,744.64,745.04,743.82,743.82,744.687462962963,745.2152261351636,744.1596997907624,1684
2025-02-24T14:41:00Z,744.09,744.6,744.025,744.3,744.671003742515,745.1929340010232,744.1490734840069,580
2025-02-24T14:42:00Z,744.41,744.84,744.21,744.21,744.6632651432718,745.1789153366817,744.1476149498619,425
2025-02-24T14:43:00Z,743.56,744,743,744,744.6353671320454,745.1696673050828,744.101066959008,397
2025-02-24T14:44:00Z,744.2,745.86,744.2,745.81,744.6492820335865,745.1862402247281,744.1123238424449,308
2025-02-24T14:45:00Z,746.19,746.7,746.02,746.7,744.7041049155456,745.3178251756281,744.0903846554631,449
2025-02-24T14:46:00Z,746.71,747,745.86,746.3,744.8516565903309,745.6067164877392,744.0965966929226,1436
2025-02-24T14:47:00Z,746.46,746.48,746.16,746.37,744.9463270440252,745.7620440686566,744.1306100193939,1115
2025-02-24T14:48:00Z,746.32,746.5,745.92,746.06,744.9821540339585,745.811582059628,744.152726008289,532
2025-02-24T14:49:00Z,745.92,745.92,744.13,744.13,744.9741481680552,745.791690067816,744.1566062682944,583
